Product ID,Product Name,Category,Country,City / Warehouse,Supplier,Date,Opening Stock,Units Sold,Units Received,Closing Stock,Reorder Level,Unit Cost,Lead Time (days),Damaged Units,Stock Status,Forecast Demand,Inventory Value
P005,Keyboard,Electronics,India,Mumbai,Supplier A,2024-01-01,287,14,3,276,45,601,15,5,Healthy,67,165876
P001,Laptop,Electronics,India,Delhi,Supplier A,2024-01-02,246,37,61,270,49,376,4,10,Healthy,17,101520
P003,Tablet,Electronics,India,Delhi,Supplier B,2024-01-03,132,38,67,161,100,587,12,10,Healthy,22,94507
P005,Keyboard,Electronics,USA,Los Angeles,Supplier C,2024-01-04,257,32,59,284,49,1366,13,8,Healthy,26,387944
P004,Monitor,Electronics,India,Mumbai,Supplier C,2024-01-05,158,32,37,163,55,1009,7,7,Healthy,28,164467
P001,Laptop,Electronics,USA,Los Angeles,Supplier B,2024-01-06,51,48,2,5,68,1386,15,6,Low,55,6930
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier A,2024-01-07,87,50,21,58,89,713,7,4,Low,38,41354
P004,Monitor,Electronics,Germany,Berlin,Supplier A,2024-01-08,211,5,17,223,41,1058,8,2,Healthy,70,235934
P002,Phone,Electronics,China,Shanghai,Supplier A,2024-01-09,113,18,64,159,43,712,14,7,Healthy,22,113208
P004,Monitor,Electronics,Thailand,Bangkok,Supplier A,2024-01-10,265,36,1,230,68,265,10,5,Healthy,70,60950
P005,Keyboard,Electronics,Germany,Munich,Supplier B,2024-01-11,232,44,80,268,60,1178,8,2,Healthy,29,315704
P005,Keyboard,Electronics,India,Mumbai,Supplier A,2024-01-12,70,22,0,48,46,1147,5,10,Healthy,40,55056
P001,Laptop,Electronics,Germany,Berlin,Supplier C,2024-01-13,176,37,65,204,66,1061,4,4,Healthy,42,216444
P004,Monitor,Electronics,Thailand,Bangkok,Supplier A,2024-01-14,256,44,70,282,71,862,5,2,Healthy,52,243084
P005,Keyboard,Electronics,India,Delhi,Supplier C,2024-01-15,95,59,42,78,60,310,9,10,Healthy,10,24180
P004,Monitor,Electronics,USA,Los Angeles,Supplier A,2024-01-16,65,29,29,65,73,452,11,1,Low,60,29380
P005,Keyboard,Electronics,USA,Los Angeles,Supplier B,2024-01-17,285,6,23,302,58,1426,10,4,Healthy,67,430652
P005,Keyboard,Electronics,Thailand,Chiang Mai,Supplier B,2024-01-18,57,50,51,58,78,62,13,6,Low,23,3596
P005,Keyboard,Electronics,Germany,Munich,Supplier A,2024-01-19,281,29,12,264,62,1353,14,9,Healthy,69,357192
P005,Keyboard,Electronics,Thailand,Bangkok,Supplier A,2024-01-20,246,6,36,276,94,1131,7,9,Healthy,49,312156
P001,Laptop,Electronics,India,Delhi,Supplier B,2024-01-21,250,27,26,249,73,66,6,6,Healthy,15,16434
P003,Tablet,Electronics,China,Shanghai,Supplier B,2024-01-22,246,52,37,231,85,63,4,9,Healthy,54,14553
P002,Phone,Electronics,Germany,Berlin,Supplier A,2024-01-23,241,51,55,245,72,606,5,5,Healthy,25,148470
P003,Tablet,Electronics,China,Shanghai,Supplier B,2024-01-24,230,10,24,244,54,177,9,3,Healthy,60,43188
P003,Tablet,Electronics,USA,New York,Supplier B,2024-01-25,82,7,57,132,45,645,13,3,Healthy,32,85140
P002,Phone,Electronics,India,Delhi,Supplier C,2024-01-26,250,53,54,251,76,1266,10,6,Healthy,45,317766
P001,Laptop,Electronics,USA,New York,Supplier B,2024-01-27,273,54,77,296,53,1248,4,6,Healthy,29,369408
P005,Keyboard,Electronics,USA,New York,Supplier B,2024-01-28,135,22,1,114,99,583,13,6,Healthy,29,66462
P002,Phone,Electronics,India,Delhi,Supplier A,2024-01-29,55,55,36,36,49,1066,10,3,Low,24,38376
